# Words not present in GoogleNews word2vec model
# in (word, count) format
 

('myhealth', 197)
('smartforms', 149)
('nakisha', 146)
('nguyen', 142)
('arlene', 68)
('xalatan', 66)
('tania', 64)
('sanislo', 56)
('levina', 50)
('anaje', 43)
('tawanna', 43)
('ferreira', 42)
('byers', 39)
('alphagan', 39)
('moshfeghi', 38)
('cosopt', 38)
('cvspharmacy', 36)
('yvette', 34)
('doesnt', 33)
('lmssg', 32)
('theodore', 32)
('mssg', 31)
('vigamox', 30)
('advsd', 30)
('rpv', 29)
('mariya', 29)
('hpi', 29)
('parisi', 29)
('leggett', 29)
('elier', 29)
('lumigan', 28)
('montague', 28)
('blumenkranz', 27)
('qun', 27)
('travatan', 27)
('hypopyon', 26)
('dorzolamidetimolol', 26)
('navarro', 24)
('kistler', 24)
('hvf', 24)
('yelena', 23)
('chiahong', 22)
('kossler', 22)
('iop', 21)
('rxs', 21)
('drps', 21)
('mateo', 20)
('ratto', 19)
('restasis', 19)
('timoptic', 19)
('andersen', 18)
('tonopen', 18)
('betimol', 18)
('medco', 18)
('azopt', 18)
('ucc', 17)
('kuldev', 17)
('eulla', 17)
('staci', 17)
('lotemax', 16)
('pvd', 16)
('nikita', 16)
('questionissue', 15)
('acthar', 15)
('alavez', 15)
('pmh', 15)
('psh', 15)
('adnexa', 15)
('claytonpope', 15)
('combigan', 15)
('nizama', 14)
('yaritza', 14)
('cancelled', 14)
('beyer', 14)
('fullfield', 14)
('sunnyvale', 14)
('appmt', 13)
('tropicamide', 13)
('cuptodisk', 13)
('alouisa', 13)
('pciol', 13)
('diamox', 13)
('beres', 13)
('gtt', 13)
('jeng', 13)
('yaping', 12)
('marmor', 12)
('vf', 12)
('mrn', 12)
('evangelista', 12)
('teresita', 12)
('didnt', 12)
('suzellen', 12)
('fredrick', 12)
('janaye', 12)
('olivar', 12)
('unyi', 11)
('asmaa', 11)
('erickson', 11)
('travoprost', 11)
('sibal', 11)
('rainaclare', 11)
('dpet', 11)
('lobato', 11)
('shc', 11)
('ucsf', 11)
('roxana', 10)
('acular', 10)
('greven', 10)
('cortez', 10)
('obeck', 10)
('kule', 10)
('brinzolamide', 10)
('karth', 10)
('maree', 10)
('durezol', 10)
('zamora', 10)
('mendez', 10)
('besag', 10)
('lorena', 9)
('orellana', 9)
('jacobsen', 9)
('bodnar', 9)
('gtts', 9)
('prp', 9)
('surgeryoes', 9)
('betoptic', 9)
('pgy', 9)
('evgeny', 9)
('wasnt', 9)
('jeanine', 9)
('cecilia', 9)
('pamf', 9)
('makeila', 9)
('valerie', 9)
('brimonidinetimolol', 9)
('sle', 9)
('cardoza', 8)
('vexol', 8)
('ruwan', 8)
('hasnt', 8)
('guerrero', 8)
('capangpangan', 8)
('rapd', 8)
('elsawy', 8)
('adrionna', 8)
('ctls', 8)
('wongs', 8)
('hirabayashi', 8)
('ctl', 8)
('cmshcc', 8)
('hypotony', 8)
('simbrinza', 8)
('cissy', 8)
('almazan', 7)
('qid', 7)
('hollister', 7)
('avastin', 7)
('optumrx', 7)
('lvm', 7)
('leydi', 7)
('loteprednol', 7)
('maxitrol', 7)
('charlson', 7)
('anastasia', 7)
('appointmentreturn', 7)
('sandoval', 7)
('polytrim', 7)
('humphrey', 7)
('crvo', 7)
('wnl', 7)
('plaquenil', 7)
('pseudophakia', 7)
('asunsolo', 7)
('zioptan', 7)
('rfl', 7)
('monika', 6)
('surgeryprocedureancillary', 6)
('callaway', 6)
('oculoplastics', 6)
('agerelated', 6)
('tarek', 6)
('mendoza', 6)
('regalado', 6)
('leal', 6)
('baudour', 6)
('bernardo', 6)
('gardetto', 6)
('nguyens', 6)
('godinalamas', 6)
('bloodthinners', 6)
('bloodthinning', 6)
('walgreen', 6)
('blephamide', 6)
('abx', 6)
('tittler', 6)
('gianna', 6)
('acth', 6)
('menlo', 6)
('armd', 6)
('albertsons', 6)
('camacho', 6)
('julissa', 6)
('unitml', 5)
('kristina', 5)
('pkp', 5)
('endolaser', 5)
('eylea', 5)
('pdr', 5)
('natalia', 5)
